"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"MS","2026-08-29","28","11","2","0.96","0.38","0.07","Very Low","Very Low","Very Low","78","78","78","74.29","74.29","74.29"
"NJ","2026-08-29","102","22","11","1.10","0.24","0.12","Very Low","Very Low","Very Low","82","82","82","96.47","96.47","96.47"
"VA","2026-08-29","39","14","3","0.45","0.16","0.03","Very Low","Very Low","Very Low","84","84","84","81.55","81.55","81.55"
"AL","2026-08-29","83","20","10","1.63","0.39","0.20","Very Low","Very Low","Very Low","94","94","94","94.95","94.95","94.95"
"KS","2026-08-29","9","6","2","0.31","0.21","0.07","Very Low","Very Low","Very Low","86","86","86","59.31","59.31","59.31"
"TN","2026-08-29","83","31","4","1.17","0.44","0.06","Very Low","Very Low","Very Low","127","127","127","95.49","95.49","95.49"
"MI","2026-08-29","24","13","3","0.24","0.13","0.03","Very Low","Very Low","Very Low","134","134","134","87.58","87.58","87.58"
"VI","2026-08-29","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"MP","2026-08-29",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"UT","2026-08-29","9","7","0","0.26","0.21","0.00","Very Low","Very Low","Very Low","55","55","55","98.21","98.21","98.21"
"DC","2026-08-29","7","1","0","1.04","0.15","0.00","Very Low","Very Low","Very Low","9","9","9","81.82","81.82","81.82"
"IA","2026-08-29","6","6","0","0.19","0.19","0.00","Very Low","Very Low","Very Low","96","96","96","78.05","78.05","78.05"
"CO","2026-08-29","22","3","2","0.38","0.05","0.03","Very Low","Very Low","Very Low","86","86","86","86","86","86"
"NH","2026-08-29","3","2","0","0.21","0.14","0.00","Very Low","Very Low","Very Low","22","22","22","84.62","84.62","84.62"
"RI","2026-08-29","3","1","0","0.27","0.09","0.00","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"AR","2026-08-29","9","1","1","0.29","0.03","0.03","Very Low","Very Low","Very Low","60","60","60","63.83","63.83","63.83"
"AK","2026-08-29","4","7","0","0.56","0.98","0.00","Very Low","Very Low","Very Low","16","16","16","66.67","66.67","66.67"
"MA","2026-08-29","31","4","6","0.44","0.06","0.09","Very Low","Very Low","Very Low","83","83","83","92.22","92.22","92.22"
"NC","2026-08-29","133","12","6","1.24","0.11","0.06","Very Low","Very Low","Very Low","128","128","128","94.12","94.12","94.12"
"SD","2026-08-29","4","2","0","0.44","0.22","0.00","Very Low","Very Low","Very Low","54","54","54","88.52","88.52","88.52"
"ID","2026-08-29","14","4","0","0.71","0.20","0.00","Very Low","Very Low","Very Low","37","37","37","78.72","78.72","78.72"
"OH","2026-08-29","48","15","10","0.41","0.13","0.08","Very Low","Very Low","Very Low","192","192","192","89.3","89.3","89.3"
"PR","2026-08-29","110","43","5","3.35","1.31","0.15","Low","Very Low","Very Low","25","25","25","45.45","45.45","45.45"
"LA","2026-08-29","95","21","5","2.08","0.46","0.11","Very Low","Very Low","Very Low","138","138","138","84.15","84.15","84.15"
"DE","2026-08-29","5","1","0","0.49","0.10","0.00","Very Low","Very Low","Very Low","11","11","11","100","100","100"
"WI","2026-08-29","34","11","7","0.58","0.19","0.12","Very Low","Very Low","Very Low","134","134","134","90.54","90.54","90.54"
"AS","2026-08-29",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"CA","2026-08-29","585","96","21","1.51","0.25","0.05","Very Low","Very Low","Very Low","309","309","309","77.44","77.44","77.44"
"GA","2026-08-29","132","18","14","1.20","0.16","0.13","Very Low","Very Low","Very Low","111","111","111","69.38","69.38","69.38"
"ND","2026-08-29","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","38","38","38","77.55","77.55","77.55"
"NV","2026-08-29","12","13","1","0.38","0.41","0.03","Very Low","Very Low","Very Low","37","37","37","71.15","71.15","71.15"
"NY","2026-08-29","210","24","16","1.07","0.12","0.08","Very Low","Very Low","Very Low","172","172","172","84.31","84.31","84.31"
"PA","2026-08-29","74","137","48","0.57","1.06","0.37","Very Low","Very Low","Very Low","193","193","193","87.73","87.73","87.73"
"CT","2026-08-29","13","4","0","0.36","0.11","0.00","Very Low","Very Low","Very Low","28","28","28","87.5","87.5","87.5"
"GU","2026-08-29","2","0","0","1.30","0.00","0.00","Low","Very Low","Very Low","1","1","1","50","50","50"
"MO","2026-08-29","36","31","1","0.58","0.50","0.02","Very Low","Very Low","Very Low","89","89","89","71.77","71.77","71.77"
"OK","2026-08-29","19","8","0","0.47","0.20","0.00","Very Low","Very Low","Very Low","85","85","85","61.15","61.15","61.15"
"TX","2026-08-29","510","87","25","1.68","0.29","0.08","Very Low","Very Low","Very Low","391","391","391","70.96","70.96","70.96"
"NM","2026-08-29","14","3","0","0.67","0.14","0.00","Very Low","Very Low","Very Low","40","40","40","81.63","81.63","81.63"
"USA","2026-08-29","3,352","874","324","0.99","0.26","0.10","Very Low","Very Low","Very Low","4,632","4,632","4,632","80.39","80.39","80.39"
"IL","2026-08-29","39","12","2","0.31","0.10","0.02","Very Low","Very Low","Very Low","153","153","153","77.27","77.27","77.27"
"SC","2026-08-29","63","7","5","1.18","0.13","0.09","Very Low","Very Low","Very Low","67","67","67","89.33","89.33","89.33"
"MN","2026-08-29","16","7","0","0.28","0.12","0.00","Very Low","Very Low","Very Low","118","118","118","89.39","89.39","89.39"
"MT","2026-08-29","4","3","0","0.35","0.27","0.00","Very Low","Very Low","Very Low","50","50","50","79.37","79.37","79.37"
"PR","2026-07-25","25","25","8","0.76","0.76","0.24","Very Low","Very Low","Very Low","26","26","26","47.27","47.27","47.27"
"DC","2026-07-25","1","0","0","0.15","0.00","0.00","Very Low","Very Low","Very Low","8","8","8","72.73","72.73","72.73"
"MN","2026-07-25","4","2","2","0.07","0.03","0.03","Very Low","Very Low","Very Low","115","115","115","87.12","87.12","87.12"
"MT","2026-07-25","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","46","46","46","73.02","73.02","73.02"
"CA","2026-07-25","227","77","19","0.58","0.20","0.05","Very Low","Very Low","Very Low","323","323","323","80.95","80.95","80.95"
"GA","2026-07-25","45","11","10","0.41","0.10","0.09","Very Low","Very Low","Very Low","111","111","111","69.38","69.38","69.38"
"NV","2026-07-25","17","8","2","0.53","0.25","0.06","Very Low","Very Low","Very Low","36","36","36","69.23","69.23","69.23"
"NY","2026-07-25","93","10","11","0.48","0.05","0.06","Very Low","Very Low","Very Low","169","169","169","82.84","82.84","82.84"
"OH","2026-07-25","20","5","7","0.17","0.04","0.06","Very Low","Very Low","Very Low","189","189","189","87.91","87.91","87.91"
"AR","2026-07-25","6","0","1","0.20","0.00","0.03","Very Low","Very Low","Very Low","59","59","59","62.77","62.77","62.77"
"DE","2026-07-25","2","2","0","0.19","0.19","0.00","Very Low","Very Low","Very Low","10","10","10","90.91","90.91","90.91"
"VA","2026-07-25","12","14","6","0.14","0.16","0.07","Very Low","Very Low","Very Low","85","85","85","83.33","83.33","83.33"
"HI","2026-07-25","14","1","5","1.00","0.07","0.36","Very Low","Very Low","Very Low","19","19","19","67.86","67.86","67.86"
"KY","2026-07-25","11","8","1","0.24","0.18","0.02","Very Low","Very Low","Very Low","89","89","89","79.46","79.46","79.46"
"MD","2026-07-25","8","6","0","0.13","0.10","0.00","Very Low","Very Low","Very Low","36","36","36","70.59","70.59","70.59"
"NE","2026-07-25","2","2","0","0.10","0.10","0.00","Very Low","Very Low","Very Low","76","76","76","77.55","77.55","77.55"
"WA","2026-07-25","16","6","1","0.21","0.08","0.01","Very Low","Very Low","Very Low","95","95","95","97.94","97.94","97.94"
"MP","2026-07-25",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"UT","2026-07-25","4","2","2","0.12","0.06","0.06","Very Low","Very Low","Very Low","53","53","53","94.64","94.64","94.64"
"FL","2026-07-25","254","91","59","1.13","0.40","0.26","Very Low","Very Low","Very Low","221","221","221","78.93","78.93","78.93"
"WV","2026-07-25","2","0","2","0.11","0.00","0.11","Very Low","Very Low","Very Low","60","60","60","100","100","100"
"WY","2026-07-25","1","1","1","0.17","0.17","0.17","Very Low","Very Low","Very Low","19","19","19","61.29","61.29","61.29"
"IA","2026-07-25","4","0","1","0.12","0.00","0.03","Very Low","Very Low","Very Low","93","93","93","75.61","75.61","75.61"
"MS","2026-07-25","25","8","4","0.85","0.27","0.14","Very Low","Very Low","Very Low","83","83","83","79.05","79.05","79.05"
"NJ","2026-07-25","39","17","14","0.42","0.18","0.15","Very Low","Very Low","Very Low","83","83","83","97.65","97.65","97.65"
"KS","2026-07-25","5","1","1","0.17","0.03","0.03","Very Low","Very Low","Very Low","85","85","85","58.62","58.62","58.62"
"WI","2026-07-25","1","3","0","0.02","0.05","0.00","Very Low","Very Low","Very Low","149","149","149","100.68","100.68","100.68"
"VT","2026-07-25","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","14","14","14","93.33","93.33","93.33"
"AS","2026-07-25",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"IN","2026-07-25","13","8","5","0.19","0.12","0.07","Very Low","Very Low","Very Low","129","129","129","90.21","90.21","90.21"
"ND","2026-07-25","2","2","0","0.26","0.26","0.00","Very Low","Very Low","Very Low","39","39","39","79.59","79.59","79.59"
"OR","2026-07-25","7","4","3","0.17","0.09","0.07","Very Low","Very Low","Very Low","45","45","45","72.58","72.58","72.58"
"PA","2026-07-25","36","121","65","0.28","0.93","0.50","Very Low","Very Low","Very Low","188","188","188","85.45","85.45","85.45"
"AK","2026-07-25","3","0","0","0.42","0.00","0.00","Very Low","Very Low","Very Low","16","16","16","66.67","66.67","66.67"
"LA","2026-07-25","115","80","72","2.52","1.75","1.58","Very Low","Low","Low","133","133","133","81.1","81.1","81.1"
